,area_name_en,zone_index,rooms_en,weighted_score
630,Hessyan Second,168,4 B/R,0.016493746
631,Hessyan Second,168,5 B/R,0.034447107
634,Hessyan Second,168,Studio,0.002212197
635,Hor Al Anz,59,1 B/R,0.040782986
636,Hor Al Anz,59,2 B/R,0.012816096
637,Hor Al Anz,59,3 B/R,0.082135742
638,Hor Al Anz,59,4 B/R,0.052988121
639,Hor Al Anz,59,5 B/R,0.078152331
644,Hor Al Anz,59,Studio,0.002717428
645,Hor Al Anz East,173,1 B/R,0.048635909
646,Hor Al Anz East,173,2 B/R,0.014563838
647,Hor Al Anz East,173,3 B/R,0.074947824
648,Hor Al Anz East,173,4 B/R,0.040749403
649,Hor Al Anz East,173,5 B/R,0.034260665
653,Hor Al Anz East,173,Studio,0.002339892
654,Jabal Ali First,3,1 B/R,0.042065668
655,Jabal Ali First,3,2 B/R,0.021426278
656,Jabal Ali First,3,3 B/R,0.137227693
657,Jabal Ali First,3,4 B/R,0.032403652
658,Jabal Ali First,3,5 B/R,0.073065677
667,Jabal Ali First,3,Studio,0.002675252
668,Jabal Ali First,225,1 B/R,0.069119899
669,Jabal Ali First,225,2 B/R,0.018398789
670,Jabal Ali First,225,3 B/R,0.18382722
671,Jabal Ali First,225,4 B/R,0.032491237
672,Jabal Ali First,225,5 B/R,0.049970292
681,Jabal Ali First,225,Studio,0.002321993
682,Jabal Ali Industrial First,146,1 B/R,0.050503421
683,Jabal Ali Industrial First,146,2 B/R,0.010685959
684,Jabal Ali Industrial First,146,3 B/R,0.095175036
685,Jabal Ali Industrial First,146,4 B/R,0.029833504
686,Jabal Ali Industrial First,146,5 B/R,0.048800547
691,Jabal Ali Industrial First,146,Studio,0.001885067
692,Jabal Ali Industrial Second,188,1 B/R,0.053809067
693,Jabal Ali Industrial Second,188,2 B/R,0.012844816
694,Jabal Ali Industrial Second,188,3 B/R,0.075348048
695,Jabal Ali Industrial Second,188,4 B/R,0.032129001
696,Jabal Ali Industrial Second,188,5 B/R,0.090624831
701,Jabal Ali Industrial Second,188,Studio,0.001829862
702,Jabal Ali Industrial Third,29,1 B/R,0.021368519
703,Jabal Ali Industrial Third,29,2 B/R,0.020592983
704,Jabal Ali Industrial Third,29,3 B/R,0.018480663
